role,description,required_skills,education_level,tools_technologies,learning_path,personality_traits,domain_industries,average_salary_range,job_demand_level,career_growth_score,related_roles,education,experience,salary_range
Business Intelligence Developer,Develops BI solutions to analyze business data.,"Big Data, Business Intelligence, Data Wrangling, Feature Engineering, Java, Numpy, Pandas",Master's,"Keras,Kubernetes",Step 1: Data Wrangling|Step 2: Big Data|Step 3: Pandas|Step 4: Numpy|Step 5: Feature Engineering,"Creative,Logical","Education,Healthcare",$84000 - $129000,Medium,87.0,"AI Solutions Architect,Data Scientist",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Deep Learning, Java, Numpy, Pandas, Sql",Master's,"Scikit-Learn,Azure ML,Kubernetes",Step 1: Deep Learning|Step 2: Pandas|Step 3: SQL|Step 4: Numpy,"Curious,Creative","Automotive,E-commerce,Education",$92000 - $151000,Low,87.0,"Healthcare AI Specialist,NLP Engineer",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Ai Ethics, Big Data, Data Visualization, Java, Python, Reinforcement Learning",PhD,"Power BI,Google Cloud AI,Azure ML,Hadoop",Step 1: Big Data|Step 2: AI Ethics|Step 3: Reinforcement Learning|Step 4: Python|Step 5: Data Visualization,"Team Player,Innovative,Creative","Defense,Manufacturing,Automotive",$74000 - $111000,Medium,70.0,"Autonomous Vehicle Engineer,Computer Vision Engineer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Ai Ethics, Numpy, Pytorch, Tensorflow",PhD,"Jupyter,Keras",Step 1: PyTorch|Step 2: AI Ethics|Step 3: Numpy|Step 4: TensorFlow,"Logical,Curious","Manufacturing,Education",$70000 - $141000,Medium,72.0,"Deep Learning Specialist,Speech Recognition Engineer",,,
Healthcare AI Specialist,Applies AI to diagnose and treat medical conditions.,"Big Data, Cloud Computing, Data Visualization, Reinforcement Learning, Sql",Bachelor's,"Hadoop,Tableau",Step 1: SQL|Step 2: Big Data|Step 3: Cloud Computing|Step 4: Reinforcement Learning|Step 5: Data Visualization,"Creative,Team Player","Education,Finance",$89000 - $148000,Medium,62.0,"Speech Recognition Engineer,Cloud AI Engineer",,,
Reinforcement Learning Engineer,Applies RL techniques to autonomous systems.,"Computer Vision, Data Visualization, Java, Numpy, Pandas, Python, Sql",PhD,"Azure ML,Docker,Jupyter",Step 1: Pandas|Step 2: Computer Vision|Step 3: Data Visualization|Step 4: SQL|Step 5: Numpy|Step 6: Python,"Logical,Team Player,Detail-Oriented","Education,Automotive,Finance",$60000 - $113000,Medium,95.0,"Machine Learning Engineer,Cloud AI Engineer",,,
Business Intelligence Developer,Develops BI solutions to analyze business data.,"Aws, Business Intelligence, Cloud Computing, Java, Numpy, Pandas, Statistics, Tensorflow",Bachelor's,"Google Cloud AI,Power BI,Scikit-Learn,Jupyter",Step 1: Cloud Computing|Step 2: TensorFlow|Step 3: Statistics|Step 4: Numpy|Step 5: AWS|Step 6: Pandas,"Team Player,Innovative,Analytical","Automotive,Manufacturing",$91000 - $157000,High,65.0,"AI Consultant,Autonomous Vehicle Engineer",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Ai Ethics, Computer Vision, Java, Numpy, R",Bachelor's,"Hadoop,Kubernetes,Power BI",Step 1: R|Step 2: AI Ethics|Step 3: Computer Vision|Step 4: Numpy,"Logical,Creative,Team Player","Automotive,Retail,Education",$89000 - $123000,High,96.0,"AI Product Manager,Cybersecurity AI Specialist",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Data Analysis, Natural Language Processing, Numpy, Pandas, R, Statistics",Master's,"Google Cloud AI,Kubernetes,Power BI",Step 1: R|Step 2: Natural Language Processing|Step 3: Numpy|Step 4: Statistics|Step 5: Pandas,"Curious,Innovative,Logical","Retail,Finance",$63000 - $114000,Medium,76.0,"Cloud AI Engineer,AI Ethicist",,,
AI Ethicist,Studies and ensures ethical AI practices.,"Ai Ethics, Deep Learning, Sql, Tensorflow",Master's,"Jupyter,Kubernetes,Google Cloud AI,Apache Spark",Step 1: SQL|Step 2: TensorFlow|Step 3: Deep Learning|Step 4: AI Ethics,"Creative,Logical,Detail-Oriented","Defense,E-commerce",$78000 - $138000,Low,70.0,"Robotics Engineer,Data Analyst",,,
Speech Recognition Engineer,Develops systems that understand spoken language.,"Aws, Cloud Computing, Feature Engineering, Java, Pandas, Pytorch, Sql",Master's,"Keras,Azure ML,Jupyter,Power BI",Step 1: AWS|Step 2: PyTorch|Step 3: Cloud Computing|Step 4: Pandas|Step 5: Feature Engineering|Step 6: SQL,"Innovative,Creative","Education,Retail",$80000 - $116000,Low,72.0,"AI Software Developer,Autonomous Vehicle Engineer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Aws, Azure, Computer Vision, Python, Pytorch, R",Bachelor's,"Google Cloud AI,Tableau,Apache Spark,Power BI",Step 1: Python|Step 2: Azure|Step 3: R|Step 4: Computer Vision|Step 5: PyTorch|Step 6: AWS,"Creative,Curious,Logical","Education,Automotive",$68000 - $117000,Low,76.0,"AI Ethicist,Cloud AI Engineer",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Feature Engineering, Java, Pandas, Pytorch, R, Statistics",Bachelor's,"Jupyter,Docker,Keras,Google Cloud AI",Step 1: PyTorch|Step 2: Statistics|Step 3: Pandas|Step 4: R|Step 5: Feature Engineering,"Detail-Oriented,Logical","Education,Finance,Automotive",$95000 - $142000,Medium,85.0,"Healthcare AI Specialist,AI Solutions Architect",,,
AI Ethicist,Studies and ensures ethical AI practices.,"Ai Ethics, Computer Vision, Data Wrangling, Numpy, Tensorflow",PhD,"Google Cloud AI,Tableau",Step 1: TensorFlow|Step 2: AI Ethics|Step 3: Data Wrangling|Step 4: Numpy|Step 5: Computer Vision,"Analytical,Creative","Education,Manufacturing,E-commerce",$77000 - $115000,High,70.0,"AI Solutions Architect,Deep Learning Specialist",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Ai Ethics, Cloud Computing, Computer Vision, Java, Numpy, Pandas, Statistics",PhD,"Keras,Docker,Jupyter",Step 1: AI Ethics|Step 2: Computer Vision|Step 3: Pandas|Step 4: Numpy|Step 5: Statistics|Step 6: Cloud Computing,"Analytical,Logical","Defense,Automotive,Healthcare",$70000 - $157000,Medium,93.0,"Cloud AI Engineer,Healthcare AI Specialist",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Aws, Data Wrangling, Feature Engineering, Java, Tensorflow",Bachelor's,"Kubernetes,Apache Spark",Step 1: Data Wrangling|Step 2: Feature Engineering|Step 3: TensorFlow|Step 4: AWS,"Curious,Analytical,Team Player","Retail,Manufacturing,Automotive",$63000 - $119000,High,88.0,"AI Solutions Architect,Data Analyst",,,
Data Analyst,Processes and visualizes data to generate insights.,"Ai Ethics, Aws, Big Data, Data Analysis, Data Wrangling, Statistics, Tensorflow",Master's,"Tableau,Power BI,Keras",Step 1: AI Ethics|Step 2: Big Data|Step 3: Statistics|Step 4: Data Wrangling|Step 5: TensorFlow|Step 6: AWS,"Team Player,Logical","E-commerce,Defense",$100000 - $114000,Low,83.0,"Data Scientist,Reinforcement Learning Engineer",,,
Deep Learning Specialist,Builds deep neural networks for various AI tasks.,"Aws, Computer Vision, Data Visualization, Data Wrangling, Feature Engineering, Statistics",Master's,"Scikit-Learn,Hadoop,Tableau,Kubernetes",Step 1: Feature Engineering|Step 2: Data Visualization|Step 3: Data Wrangling|Step 4: AWS|Step 5: Computer Vision|Step 6: Statistics,"Logical,Analytical","E-commerce,Defense,Education",$75000 - $146000,Medium,73.0,"AI Researcher,Robotics Engineer",,,
AI Software Developer,Codes software with integrated AI capabilities.,"Big Data, Data Visualization, Data Wrangling, Java, Pandas, R, Statistics",Bachelor's,"Jupyter,Power BI,Keras",Step 1: Pandas|Step 2: Data Wrangling|Step 3: R|Step 4: Data Visualization|Step 5: Big Data|Step 6: Statistics,"Innovative,Analytical,Logical","E-commerce,Defense",$66000 - $153000,Medium,70.0,"Speech Recognition Engineer,Business Intelligence Developer",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Ai Ethics, Big Data, Cloud Computing, Computer Vision, Data Analysis, Numpy, Pytorch",Master's,"Jupyter,Keras,Kubernetes,Azure ML",Step 1: Computer Vision|Step 2: AI Ethics|Step 3: PyTorch|Step 4: Big Data|Step 5: Cloud Computing|Step 6: Numpy,"Analytical,Curious","Healthcare,E-commerce",$94000 - $155000,High,68.0,"AI Product Manager,NLP Engineer",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Big Data, Data Wrangling, Java, Python, Sql, Tensorflow",Bachelor's,"Apache Spark,Google Cloud AI,Jupyter",Step 1: TensorFlow|Step 2: Python|Step 3: Big Data|Step 4: Data Wrangling|Step 5: SQL,"Team Player,Logical","Manufacturing,Education,Automotive",$97000 - $119000,High,87.0,"Data Scientist,Autonomous Vehicle Engineer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Ai Ethics, Big Data, Cloud Computing, Natural Language Processing",Bachelor's,"Scikit-Learn,Hadoop",Step 1: Big Data|Step 2: AI Ethics|Step 3: Cloud Computing|Step 4: Natural Language Processing,"Analytical,Detail-Oriented,Innovative","Automotive,E-commerce,Retail",$72000 - $151000,High,90.0,"Cybersecurity AI Specialist,AI Consultant",,,
Data Analyst,Processes and visualizes data to generate insights.,"Aws, Azure, Cloud Computing, Data Analysis, Data Wrangling, R, Sql",PhD,"Apache Spark,Hadoop",Step 1: R|Step 2: Data Wrangling|Step 3: SQL|Step 4: Cloud Computing|Step 5: Azure|Step 6: AWS,"Analytical,Creative,Curious","Finance,Defense,Education",$100000 - $122000,Medium,81.0,"AI Consultant,Deep Learning Specialist",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Computer Vision, Natural Language Processing, R, Sql, Statistics",Bachelor's,"Tableau,Scikit-Learn,Docker",Step 1: Natural Language Processing|Step 2: Statistics|Step 3: SQL|Step 4: R|Step 5: Computer Vision,"Creative,Logical","Healthcare,Finance",$62000 - $158000,Medium,68.0,"AI Solutions Architect,Reinforcement Learning Engineer",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Aws, Cloud Computing, Computer Vision, Java, Statistics",PhD,"Apache Spark,Google Cloud AI,Docker",Step 1: Cloud Computing|Step 2: Statistics|Step 3: Computer Vision|Step 4: AWS,"Analytical,Logical","Education,Retail",$68000 - $112000,High,65.0,"Healthcare AI Specialist,AI Ethicist",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Aws, Data Visualization, Data Wrangling, Java, Python, R, Tensorflow",Bachelor's,"Jupyter,Keras,Azure ML,Apache Spark",Step 1: AWS|Step 2: R|Step 3: TensorFlow|Step 4: Data Visualization|Step 5: Data Wrangling|Step 6: Python,"Logical,Team Player","Healthcare,Manufacturing",$100000 - $134000,Low,74.0,"Autonomous Vehicle Engineer,AI Product Manager",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Ai Ethics, Cloud Computing, Computer Vision, Java, Numpy, Pytorch, R",Master's,"Kubernetes,Hadoop,Google Cloud AI,Tableau",Step 1: Cloud Computing|Step 2: PyTorch|Step 3: Computer Vision|Step 4: R|Step 5: AI Ethics|Step 6: Numpy,"Curious,Innovative,Creative","Defense,Education",$71000 - $114000,High,81.0,"Business Intelligence Developer,AI Researcher",,,
Healthcare AI Specialist,Applies AI to diagnose and treat medical conditions.,"Azure, Deep Learning, Feature Engineering, Reinforcement Learning",Master's,"Tableau,Docker,Kubernetes,Google Cloud AI",Step 1: Reinforcement Learning|Step 2: Azure|Step 3: Feature Engineering|Step 4: Deep Learning,"Logical,Analytical","Finance,Education,Manufacturing",$91000 - $115000,Medium,70.0,"AI Researcher,Robotics Engineer",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Big Data, Feature Engineering, Java, R, Reinforcement Learning, Statistics",Master's,"Tableau,Google Cloud AI,Apache Spark",Step 1: Feature Engineering|Step 2: Big Data|Step 3: Statistics|Step 4: Reinforcement Learning|Step 5: R,"Analytical,Creative","Finance,Healthcare,Education",$88000 - $136000,Medium,60.0,"AI Consultant,NLP Engineer",,,
AI Solutions Architect,Designs and integrates AI solutions for enterprises.,"Ai Ethics, Big Data, Computer Vision, Deep Learning, Feature Engineering, Statistics",Bachelor's,"Power BI,Azure ML",Step 1: AI Ethics|Step 2: Statistics|Step 3: Deep Learning|Step 4: Computer Vision|Step 5: Big Data|Step 6: Feature Engineering,"Creative,Curious","Education,Automotive,Finance",$72000 - $123000,High,68.0,"AI Ethicist,Data Scientist",,,
Healthcare AI Specialist,Applies AI to diagnose and treat medical conditions.,"Azure, Big Data, Cloud Computing, Data Wrangling, Numpy, Statistics",PhD,"Jupyter,Scikit-Learn,Docker,Google Cloud AI",Step 1: Data Wrangling|Step 2: Cloud Computing|Step 3: Numpy|Step 4: Statistics|Step 5: Azure|Step 6: Big Data,"Creative,Team Player,Innovative","Healthcare,Manufacturing,Defense",$92000 - $147000,Low,84.0,"Autonomous Vehicle Engineer,Data Analyst",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Data Analysis, Data Visualization, Deep Learning, Natural Language Processing, Python, R",Bachelor's,"Tableau,Scikit-Learn",Step 1: Natural Language Processing|Step 2: R|Step 3: Python|Step 4: Deep Learning|Step 5: Data Visualization,"Analytical,Team Player","Defense,Automotive,Healthcare",$79000 - $128000,High,61.0,"NLP Engineer,AI Product Manager",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Computer Vision, Data Visualization, Java, Natural Language Processing, Pytorch",PhD,"Keras,Tableau,Docker,Hadoop",Step 1: Natural Language Processing|Step 2: PyTorch|Step 3: Computer Vision|Step 4: Data Visualization,"Logical,Detail-Oriented","Defense,Automotive",$65000 - $123000,Medium,71.0,"Data Analyst,Cybersecurity AI Specialist",,,
AI Software Developer,Codes software with integrated AI capabilities.,"Ai Ethics, Deep Learning, Java, Python, Sql",PhD,"Kubernetes,Apache Spark,Hadoop,Scikit-Learn",Step 1: Deep Learning|Step 2: AI Ethics|Step 3: Python|Step 4: SQL,"Logical,Creative,Team Player","Healthcare,Automotive,Manufacturing",$76000 - $123000,Low,72.0,"AI Product Manager,Healthcare AI Specialist",,,
AI Consultant,Advises businesses on AI strategies and implementation.,"Big Data, Cloud Computing, Data Visualization, Data Wrangling, Numpy, R",Master's,"Azure ML,Kubernetes,Apache Spark",Step 1: Cloud Computing|Step 2: Big Data|Step 3: Data Wrangling|Step 4: Data Visualization|Step 5: Numpy|Step 6: R,"Logical,Team Player","Automotive,Manufacturing,Healthcare",$83000 - $141000,Low,61.0,"Autonomous Vehicle Engineer,AI Ethicist",,,
AI Ethicist,Studies and ensures ethical AI practices.,"Azure, Python, Pytorch, Sql, Tensorflow",Bachelor's,"Azure ML,Apache Spark,Keras",Step 1: SQL|Step 2: Azure|Step 3: TensorFlow|Step 4: Python|Step 5: PyTorch,"Innovative,Detail-Oriented","Education,Manufacturing",$99000 - $116000,Low,73.0,"Machine Learning Engineer,Speech Recognition Engineer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Azure, Cloud Computing, Deep Learning, Natural Language Processing, Pandas, Reinforcement Learning",Master's,"Tableau,Google Cloud AI",Step 1: Reinforcement Learning|Step 2: Deep Learning|Step 3: Cloud Computing|Step 4: Pandas|Step 5: Azure|Step 6: Natural Language Processing,"Curious,Analytical,Detail-Oriented","Automotive,E-commerce",$96000 - $121000,Medium,99.0,"Robotics Engineer,AI Solutions Architect",,,
AI Solutions Architect,Designs and integrates AI solutions for enterprises.,"Azure, Big Data, Computer Vision, Pytorch, Statistics",Master's,"Hadoop,Apache Spark,Azure ML",Step 1: Azure|Step 2: Computer Vision|Step 3: PyTorch|Step 4: Statistics|Step 5: Big Data,"Analytical,Innovative","Manufacturing,Defense",$64000 - $148000,High,63.0,"NLP Engineer,Cybersecurity AI Specialist",,,
AI Consultant,Advises businesses on AI strategies and implementation.,"Ai Ethics, Big Data, Data Visualization, Deep Learning, Numpy, Pytorch",Bachelor's,"Azure ML,Hadoop,Tableau",Step 1: Big Data|Step 2: Deep Learning|Step 3: Numpy|Step 4: PyTorch|Step 5: Data Visualization|Step 6: AI Ethics,"Detail-Oriented,Team Player,Analytical","Education,Healthcare",$92000 - $113000,Medium,92.0,"AI Software Developer,Reinforcement Learning Engineer",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Ai Ethics, Aws, Data Analysis, Data Wrangling, Deep Learning, R, Reinforcement Learning",PhD,"Jupyter,Kubernetes",Step 1: Data Wrangling|Step 2: AWS|Step 3: Reinforcement Learning|Step 4: Deep Learning|Step 5: R|Step 6: AI Ethics,"Logical,Detail-Oriented,Creative","E-commerce,Defense",$63000 - $124000,Medium,66.0,"Deep Learning Specialist,Machine Learning Engineer",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Aws, Deep Learning, Feature Engineering, Java, Python, Pytorch",Bachelor's,"Google Cloud AI,Keras",Step 1: AWS|Step 2: PyTorch|Step 3: Python|Step 4: Deep Learning|Step 5: Feature Engineering,"Curious,Detail-Oriented","Finance,Automotive,Retail",$84000 - $135000,Medium,89.0,"AI Researcher,AI Ethicist",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Aws, Big Data, Data Visualization, Data Wrangling",PhD,"Docker,Kubernetes,Power BI,Google Cloud AI",Step 1: Big Data|Step 2: AWS|Step 3: Data Visualization|Step 4: Data Wrangling,"Innovative,Logical,Team Player","Retail,Healthcare",$87000 - $111000,Low,86.0,"AI Product Manager,Speech Recognition Engineer",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Big Data, Cloud Computing, Data Analysis, Feature Engineering, Numpy, Python, R",Master's,"Tableau,Hadoop,Kubernetes,Scikit-Learn",Step 1: Cloud Computing|Step 2: Python|Step 3: Numpy|Step 4: R|Step 5: Big Data|Step 6: Feature Engineering,"Innovative,Creative,Detail-Oriented","Retail,Automotive",$60000 - $136000,Low,93.0,"Cybersecurity AI Specialist,Data Analyst",,,
